trade_date,ts_code,name,market,exchange,industry,sig_ma,sig_macd,sig_rsi,sig_kdj,sig_boll,close,ma_bfq_5,ma_bfq_10,macd_dif_bfq,macd_dea_bfq,macd_bfq,rsi_bfq_6,rsi_bfq_12,kdj_k_bfq,kdj_d_bfq,boll_mid_bfq
20260128,300847.SZ,中船汉光,创业板,SZSE,化工原料,1,1,1,1,1,17.78,18.108,18.03,0.149,0.151,-0.003,39.832,48.705,47.62157,51.82025,17.861
20260128,301053.SZ,远信工业,创业板,SZSE,专用机械,1,1,1,1,1,35.63,35.974,36.519,0.472,0.658,-0.372,39.907,48.697,33.69795,45.58789,36.176
20260128,603859.SH,能科科技,主板,SSE,软件服务,1,1,1,1,1,48.21,49.468,50.195,1.949,2.455,-1.011,39.93,51.154,17.68411,26.66804,48.814
20260128,300098.SZ,高新兴,创业板,SZSE,软件服务,1,1,1,1,1,6.62,6.924,6.957,0.213,0.258,-0.09,39.935,49.238,24.82712,38.47224,6.71
20260128,300130.SZ,新国都,创业板,SZSE,IT设备,1,1,1,1,1,27.48,27.846,28.144,0.432,0.622,-0.379,39.961,49.058,22.15458,27.20484,28.03
20260128,301008.SZ,宏昌科技,创业板,SZSE,家用电器,1,1,1,1,1,36.0,36.986,36.997,0.424,0.441,-0.033,39.986,47.853,37.76605,47.69634,36.306
20260128,000892.SZ,欢瑞世纪,主板,SZSE,影视音像,1,1,1,1,1,7.8,8.14,8.084,0.184,0.217,-0.065,40.018,48.116,28.82246,34.69075,7.946
20260128,300547.SZ,川环科技,创业板,SZSE,汽车配件,1,1,1,1,1,36.63,36.754,37.641,-0.188,0.232,-0.84,40.024,43.881,29.3344,30.48806,38.361
20260128,688585.SH,上纬新材,科创板,SSE,化工原料,1,1,1,1,1,144.0,152.34,151.26,9.098,10.454,-2.712,40.048,52.242,31.26956,45.31626,144.866
20260128,300984.SZ,金沃股份,创业板,SZSE,机械基件,1,1,1,1,1,78.1,78.922,80.923,2.175,3.4,-2.45,40.075,49.66,23.74491,31.80969,81.58
20260128,688006.SH,杭可科技,科创板,SSE,电气设备,1,1,1,1,1,31.33,32.474,32.654,0.642,0.808,-0.33,40.076,47.766,37.22927,45.28696,32.165
20260128,300024.SZ,机器人,创业板,SZSE,专用机械,1,1,1,1,1,18.08,18.552,18.436,0.191,0.224,-0.066,40.077,47.019,27.85081,34.70989,18.488
20260128,600838.SH,上海九百,主板,SSE,百货,1,1,1,1,1,12.68,13.538,13.318,0.736,0.868,-0.262,40.087,50.073,44.69151,51.18634,12.965
20260128,688651.SH,盛邦安全,科创板,SSE,软件服务,1,1,1,1,1,49.46,51.546,52.168,1.814,2.582,-1.537,40.116,48.634,27.89463,37.75234,51.57
20260128,301225.SZ,恒勃股份,创业板,SZSE,汽车配件,1,1,1,1,1,154.45,162.62,161.9,11.535,13.342,-3.614,40.137,54.137,49.23475,57.37558,157.831
20260128,920786.BJ,骑士乳业,北交所,BSE,乳制品,1,1,1,1,1,10.3,10.38,10.54,0.043,0.092,-0.098,40.151,46.872,24.15079,35.57167,10.388
20260128,300094.SZ,国联水产,创业板,SZSE,渔业,1,1,1,1,1,3.72,3.792,3.766,-0.031,-0.027,-0.008,40.151,44.717,32.37484,33.2598,3.8
20260128,600975.SH,新五丰,主板,SSE,农业综合,1,1,1,1,1,5.72,5.72,5.778,-0.068,-0.055,-0.026,40.19,39.772,23.51932,25.92998,5.854
20260128,603667.SH,五洲新春,主板,SSE,机械基件,1,1,1,1,1,78.88,84.49,84.107,6.923,7.968,-2.091,40.213,53.627,46.57179,59.69026,79.775
20260128,600186.SH,莲花控股,主板,SSE,食品,1,1,1,1,1,6.02,6.162,6.13,0.063,0.091,-0.055,40.215,47.352,32.21755,35.78086,6.148
20260128,002324.SZ,普利特,主板,SZSE,塑料,1,1,1,1,1,18.44,19.042,18.928,0.914,1.299,-0.77,40.218,50.69,23.72038,24.71387,19.51
